#TYPE Microsoft.ActiveDirectory.Management.ADUser
"Description","DistinguishedName","Enabled","GivenName","Manager","Name","ObjectClass","ObjectGUID","SamAccountName","SID","Surname","Title","UserPrincipalName"
"Built-in account for administering the computer/domain","CN=Administrator,CN=Users,DC=JARVIS,DC=control","True",,"CN=Captain America,OU=Disable,OU=MARVEL,DC=JARVIS,DC=control","Administrator","user","782ce8bd-d773-4837-a229-c705b989cf62","Administrator","S-1-5-21-2821128765-1132289501-3721947759-500",,,
"Built-in account for guest access to the computer/domain","CN=Guest,CN=Users,DC=JARVIS,DC=control","False",,"CN=Captain America,OU=Disable,OU=MARVEL,DC=JARVIS,DC=control","Guest","user","7ca21331-a785-469a-a51a-078348c3d0bb","Guest","S-1-5-21-2821128765-1132289501-3721947759-501",,,
"Fred who is Pappi","CN=Pappi Fred,CN=Users,DC=JARVIS,DC=control","True","Pappi","CN=Captain America,OU=Disable,OU=MARVEL,DC=JARVIS,DC=control","Pappi Fred","user","fd76cf44-4a69-4078-99e7-090903887ba4","Pappi Fred","S-1-5-21-2821128765-1132289501-3721947759-1000","Fred",,"pfred@JARVIS.control"
"Key Distribution Center Service Account","CN=krbtgt,CN=Users,DC=JARVIS,DC=control","False",,"CN=Captain America,OU=Disable,OU=MARVEL,DC=JARVIS,DC=control","krbtgt","user","63848067-6fc7-4cd3-8c21-6355dd929cd3","krbtgt","S-1-5-21-2821128765-1132289501-3721947759-502",,,
,"CN=Captain America,OU=Disable,OU=MARVEL,DC=JARVIS,DC=control","True","Captain","CN=Captain America,OU=Disable,OU=MARVEL,DC=JARVIS,DC=control","Captain America","user","d2a4ea7c-31c5-401f-be50-4decd3cfe37d","camerica","S-1-5-21-2821128765-1132289501-3721947759-1105","America",,"camerica@JARVIS.control"
,"CN=lhoe,OU=_USERS,DC=JARVIS,DC=control","True","liam","CN=Captain America,OU=Disable,OU=MARVEL,DC=JARVIS,DC=control","lhoe","user","237da5a9-1178-4134-ab0c-17f0bca32e06","lhoe","S-1-5-21-2821128765-1132289501-3721947759-1110","hoe",,"lhoe@JARVIS.control"
,"CN=fdejrangsi,OU=_USERS,DC=JARVIS,DC=control","True","frederick","CN=Captain America,OU=Disable,OU=MARVEL,DC=JARVIS,DC=control","fdejrangsi","user","a01d6753-eeb2-485e-947c-8f7ff107b570","fdejrangsi","S-1-5-21-2821128765-1132289501-3721947759-1111","dejrangsi",,
,"CN=sbeater,OU=_USERS,DC=JARVIS,DC=control","True","seed","CN=Captain America,OU=Disable,OU=MARVEL,DC=JARVIS,DC=control","sbeater","user","42c944bb-c396-492d-b672-5081c0c473c7","sbeater","S-1-5-21-2821128765-1132289501-3721947759-1112","beater",,
,"CN=dearls,OU=_USERS,DC=JARVIS,DC=control","True","drema","CN=Captain America,OU=Disable,OU=MARVEL,DC=JARVIS,DC=control","dearls","user","e46e0a5a-d9f1-4ec6-8afc-24f86436c8e3","dearls","S-1-5-21-2821128765-1132289501-3721947759-1113","earls",,
,"CN=snell,OU=_USERS,DC=JARVIS,DC=control","True","suzanne","CN=Captain America,OU=Disable,OU=MARVEL,DC=JARVIS,DC=control","snell","user","7653b9e1-f5d1-4a0c-b4f5-86fd306b375f","snell","S-1-5-21-2821128765-1132289501-3721947759-1114","nell",,
